Team,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,5 year rolling sum,Sum
Øystein,"2,199","2,267","2,153","2,220","2,244","2,446","2,532","2,480","2,601","2,412","12,471","23,554"
Håvard,"2,204","2,111","1,991","2,153","2,345","2,331","2,335","2,522","2,509","2,415","12,112","22,916"
Andreas,"1,657","1,944","2,158","2,318","2,222","2,362","2,529","2,473","2,320","2,427","12,111","22,410"
Nicolay,"2,082","1,969","2,082","2,147","2,296","2,340","2,472","2,521","2,315","2,440","12,088","22,664"
Torbjørn,"2,174","1,964","2,118","2,047","2,090","2,379","2,542","2,297","2,423","2,424","12,065","22,458"
Øyvind,"1,657","2,065","2,236","2,066","2,119","2,368","2,569","2,353","2,284","2,410","11,984","22,127"
Jørgen,"1,657","1,944","1,947","1,995","2,070","2,319","2,362","2,348","2,407","2,332","11,768","21,381"
Snorre,"1,985","2,091","2,049","2,015","2,152","2,302","2,274","2,365","2,272","2,170","11,383","21,675"
Severin,"2,042","1,989","1,967","2,098","2,313","2,326","2,230","2,312","2,494","1,938","11,300","21,709"
Steffen,"1,677","2,182","2,128","2,437","2,271","2,316","1,776","2,277","2,422","2,217","11,008","21,703"
